LCLid,latitude,longitude
MAC005492,51.44194673,0.152641724
MAC005492,51.43928002,0.140239654
MAC005492,51.43042722,0.139629371
MAC005492,51.43042674,0.139660962
MAC005492,51.42846852,0.142077716
MAC005492,51.44463037,0.146488
MAC005492,51.43932915,0.144631772
MAC005492,51.4414683,0.141817454
MAC005492,51.42771854,0.148229929
MAC005492,51.44670505,0.138782749
MAC001074,51.40182215,-0.247897687
MAC001074,51.40840427,-0.251042381
MAC001074,51.39669423,-0.261118053
MAC001074,51.40298544,-0.265256886
MAC001074,51.40454904,-0.253525668
MAC001074,51.39362976,-0.258407278
MAC001074,51.40485165,-0.264769563
MAC001074,51.39611123,-0.25730679
MAC001074,51.39400178,-0.266522558
MAC001074,51.41167846,-0.24902392
MAC000002,51.38492181,-0.061089774
MAC000002,51.38908895,-0.058939967
MAC000002,51.3896218,-0.061955078
MAC000002,51.38238468,-0.056353017
MAC000002,51.39807928,-0.055086078
MAC000002,51.39419025,-0.057432643
MAC000002,51.39747757,-0.046284874
MAC000002,51.39658414,-0.055724557
MAC000002,51.39064559,-0.057240934
MAC000002,51.39712508,-0.052005702
MAC003613,51.33067919,0.040685231
MAC003613,51.34892591,0.035833298
MAC003613,51.34463307,0.050777985
MAC003613,51.33316249,0.045981879
MAC003613,51.32929862,0.040133877
MAC003613,51.3454974,0.034787084
MAC003613,51.34332532,0.039735563
MAC003613,51.34376832,0.040019583
MAC003613,51.34461358,0.04810804
MAC003613,51.33066907,0.046267066
MAC003597,51.64502124,-0.193543118
MAC003597,51.65689425,-0.181443493
MAC003597,51.65784505,-0.187884582
MAC003597,51.6538549,-0.184000288
MAC003597,51.6580487,-0.176020372
MAC003597,51.65250526,-0.189185857
MAC003597,51.65308401,-0.185964043
MAC003597,51.65118017,-0.179060679
MAC003597,51.64313773,-0.189595738
MAC003597,51.64478718,-0.192632103
MAC003579,51.41028956,-0.402397242
MAC003579,51.40785802,-0.406556273
MAC003579,51.40436369,-0.404198609
MAC003579,51.40912482,-0.400215156
MAC003579,51.40776905,-0.392397016
MAC003579,51.39542701,-0.3915427
MAC003579,51.40954679,-0.408618269
MAC003579,51.40248246,-0.398542366
MAC003579,51.40784441,-0.400409092
MAC003579,51.40961744,-0.404315156
MAC003566,51.33920165,-0.281348722
MAC003566,51.32680751,-0.286307793
MAC003566,51.33071927,-0.274854245
MAC003566,51.33440383,-0.276991951
MAC003566,51.32761605,-0.286015957
MAC003566,51.3397791,-0.281472602
MAC003566,51.3395924,-0.268880214
MAC003566,51.3253791,-0.282254294
MAC003566,51.33028842,-0.284147634
MAC003566,51.32636102,-0.277256477
MAC003557,51.6974159,-0.346566261
MAC003557,51.69920558,-0.349251492
MAC003557,51.68872594,-0.35216636
MAC003557,51.69853752,-0.341164004
MAC003557,51.69132885,-0.339430575
MAC003557,51.69661931,-0.352650106
MAC003557,51.69664378,-0.342740001
MAC003557,51.69468868,-0.348451947
MAC003557,51.68577899,-0.340078407
MAC003557,51.70067924,-0.349494534
MAC003553,51.57892845,-0.242559599
MAC003553,51.56294427,-0.248315565
MAC003553,51.56701518,-0.251290556
MAC003553,51.56246332,-0.235208296
MAC003553,51.57868772,-0.23514425
MAC003553,51.57774064,-0.240490582
MAC003553,51.56535268,-0.246372015
MAC003553,51.57339353,-0.24616842
MAC003553,51.57653829,-0.238633497
